Icon	Deal	Business	Location	Details	Category	Expires	Show On	Event Date	Featured	ID	Source	Contact	Notes
🎉	250 Years United in Service	Riley County Historical Museum	2309 Claflin Rd. Manhattan KS	Jul 25 - Jan 3 · Recurring daily · Free and open to the public	event	2027-01-03		2026-07-25		riley-county-historical-250-years-united-in	scraped		https://www.visitmanhattanks.org/event/250-years-united-in-service/5430/
🎨	Interference: The Interactive Art of Daniel Rozin	The Museum of Art + Light	316 Pierre St Manhattan KS	Jul 25 - Sep 27 · Recurring daily	event	2026-09-27		2026-07-25		the-museum-of-interference-the-interactive-art	scraped		https://www.visitmanhattanks.org/event/interference%3a-the-interactive-art-of-daniel-rozin/5081/
🎵	Tallgrass Chamber Choir - Summer Concert (MANHATTAN, KANSAS)	Seven Dolors Church	221 South Juliette Avenue Manhattan KS	FREE WILL OFFERING ($10 suggested donation per person)	event	2026-07-26		2026-07-26		seven-dolors-church-tallgrass-chamber-choir-summer	scraped		https://www.visitmanhattanks.org/event/tallgrass-chamber-choir-summer-concert-(manhattan-kansas)/5434/
🏛️	Walking through History on the Linear Trail	Manhattan Public Library	629 Poyntz Manhattan KS	Free and open to the public	event	2026-07-26		2026-07-26		manhattan-public-library-walking-through-history-on	scraped		https://www.visitmanhattanks.org/event/walking-through-history-on-the-linear-trail/5462/
🎨	10-Year Anniversary Party	Liquid Art Winery and Estate	1745 Wildcat Creek Rd Manhattan KS	Free - tickets available for tastings	event	2026-07-26		2026-07-26		liquid-art-winery-10-year-anniversary-party	scraped		https://www.visitmanhattanks.org/event/10-year-anniversary-party/5451/
🎉	America 250 Chautauqua Talks	Manhattan KS	Manhattan KS	Jul 27 - Aug 25	event	2026-08-25		2026-07-27		manhattan-ks-america-250-chautauqua-talks	scraped		https://www.visitmanhattanks.org/event/america-250-chautauqua-talks/5437/
🧸	Kids Aerial Circus Camp	Little Apple Pilates Co	121 S 4th St Manhattan KS	Jul 27 - Jul 31 · Recurring daily · $199 for 5 day camp	event	2026-07-31		2026-07-27		little-apple-pilates-kids-aerial-circus-camp	scraped		https://www.visitmanhattanks.org/event/kids-aerial-circus-camp/5476/
🎉	MCGraws Bike Night	RC McGraw's Bar & Grill	2317 Tuttle Creek Blvd Manhattan KS	Jul 29 - Sep 9	event	2026-09-09		2026-07-29		rc-mcgraw-s-mcgraws-bike-night	scraped		https://www.visitmanhattanks.org/event/mcgraws-bike-night/5384/
🏛️	History on the Road to Ogden	Ogden Community Center	220 Willow St. Ogden KS	Free and open to the public	event	2026-07-29		2026-07-29		ogden-community-center-history-on-the-road	scraped		https://www.visitmanhattanks.org/event/history-on-the-road-to-ogden/5431/
🎉	Zoo Late Night	Sunset Zoo	2333 Oak St Manhattan KS		event	2026-07-29		2026-07-29		sunset-zoo-zoo-late-night	scraped		https://www.visitmanhattanks.org/event/zoo-late-night/5250/
🎨	Arts in the Park- Jazz/ R&B Night	Manhattan City Park	1101 Fremont St Manhattan KS	Free	event	2026-07-31		2026-07-31		manhattan-city-park-arts-in-the-park	scraped		https://www.visitmanhattanks.org/event/arts-in-the-park-jazz-r%26b-night/5282/
🎉	Water Safari	Sunset Zoo	2333 Oak St Manhattan KS	$11 Adults (13 years and older), $9 Kids (3-12), Free under 2	event	2026-08-01		2026-08-01		sunset-zoo-water-safari	scraped		https://www.visitmanhattanks.org/event/water-safari/5456/
🎉	Manhattan Golf Tournament hosted by Kansas Special Olympics	Stagg Hill Golf Club	4441 Stagg Hills Road Manhattan KS	registration link below	event	2026-08-01		2026-08-01		stagg-hill-golf-manhattan-golf-tournament-hosted	scraped		https://www.visitmanhattanks.org/event/manhattan-golf-tournament-hosted-by-kansas-special-olympics/5260/
🎪	Tread Talk- “From Carnival Carousel to Doc Hudson: One-of-a-Kind-Build”	Midwest Dream Car Collection	3007 Anderson Ave Manhattan KS	Free admission until 11 am	event	2026-08-01		2026-08-01		midwest-dream-car-tread-talk-from-carnival	scraped		https://www.visitmanhattanks.org/event/tread-talk-%e2%80%9cfrom-carnival-carousel-to-doc-hudson%3a-one-of-a-kind-build%e2%80%9d/5492/
🎵	Marc Baker and Untamed Country: Concert in the Amphitheater	Liquid Art Winery and Estate	1745 Wildcat Creek Rd Manhattan KS	Ticket information on the website	event	2026-08-01		2026-08-01		liquid-art-winery-marc-baker-and-untamed	scraped		https://www.visitmanhattanks.org/event/marc-baker-and-untamed-country%3a-concert-in-the-amphitheater/5301/
🎉	Manhattan Golf Tourament	Stagg Hill Golf Club	4441 Stagg Hills Road Manhattan KS		event	2026-08-01		2026-08-01		stagg-hill-golf-manhattan-golf-tourament	scraped		https://www.visitmanhattanks.org/event/manhattan-golf-tourament/5288/
🎉	Just Tri It Youth Triathlon	Manhattan KS	Manhattan KS	$25	event	2026-08-01		2026-08-01		manhattan-ks-just-tri-it-youth	scraped		https://www.visitmanhattanks.org/event/just-tri-it-youth-triathlon/5268/
🎉	Rock the Plains 2026	32750 Wabaunsee Rd, Alma, KS 66401	32750 Wabaunsee Rd, Alma, KS 66401 Manhattan KS	Aug 7 - Aug 8	event	2026-08-08		2026-08-07		32750-wabaunsee-rd-rock-the-plains-2026	scraped		https://www.visitmanhattanks.org/event/rock-the-plains-2026/5161/
🎉	Comedy Night w/ Rod Reyes	Liquid Art Winery and Estate	1745 Wildcat Creek Rd Manhattan KS	$20 per person	event	2026-08-07		2026-08-07		liquid-art-winery-comedy-night-w-rod	scraped		https://www.visitmanhattanks.org/event/comedy-night-w-rod-reyes/5454/
🏛️	History on Tap: The Story of Buick	Midwest Dream Car Collection	3007 Anderson Ave Manhattan KS	$50 VIP tickets, $35 event tickets	event	2026-08-07		2026-08-07		midwest-dream-car-history-on-tap-the	scraped		https://www.visitmanhattanks.org/event/history-on-tap%3a-the-story-of-buick/5493/
🎉	Prowlers: Ninjas of the Night	Sunset Zoo	2333 Oak St Manhattan KS	$15	event	2026-08-08		2026-08-08		sunset-zoo-prowlers-ninjas-of-the	scraped		https://www.visitmanhattanks.org/event/prowlers%3a-ninjas-of-the-night/5473/
🎉	Crush the Current	Manhattan City Park Pool	12th Street and Poyntz Avenue Manhattan KS	$25 per person	event	2026-08-09		2026-08-09		manhattan-city-park-crush-the-current	scraped		https://www.visitmanhattanks.org/event/crush-the-current/5460/
🎉	Poster Sale	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	Aug 18 - Aug 22	event	2026-08-22		2026-08-18		k-state-student-poster-sale	scraped		https://www.kstateupc.com/our-events/2026/8/18/poster-sale
🎉	Drinks and Dinos	Flint Hills Discovery Center	315 S 3rd Manhattan KS	Discovery Center Admission	event	2026-08-19		2026-08-19		flint-hills-discovery-drinks-and-dinos	scraped		https://www.visitmanhattanks.org/event/drinks-and-dinos/5379/
🏟️	K-State Soccer vs Missouri State	Buser Family Park	1628 College Ave Manhattan KS		event	2026-08-20		2026-08-20		buser-family-park-k-state-soccer-vs	scraped		https://www.visitmanhattanks.org/event/k-state-soccer-vs-missouri-state/5440/
